conceptID,term,Type,MTurk_E,MTurk_P,MTurk_A,US_E,US_P,US_A,org_E,org_P,org_A
1557,sleuth,Identities,.26439393,.25656566,-.037878789,-.031367604,.17241378,-.47572812,-.40000001,.81999999,-1.26
1558,slob,Identities,-.64999998,-.44342107,-.39421052,-.53324968,-.41379312,-.35598701,-2.4000001,-1.22,-.88999999
2238,sloppy,Modifiers,-.54538041,-.29972827,-.076086953,-.47804263,-.41954023,.21035601,-2.1800001,-1.24,.86000001
2239,slothful,Modifiers,-.52898937,-.52712768,-.80079788,-.45796731,-.61781609,-.96116501,-2.0999999,-1.9299999,-2.76
701,slug,Behaviors,-.65454543,.34034091,.56363636,-.61355078,.24137929,.40129453,-2.72,1.0599999,1.45
2240,sluggish,Modifiers,-.51693547,-.56854838,-.783871,-.35257208,-.61206895,-.94822001,-1.6799999,-1.91,-2.72
1559,slut,Identities,-.48836634,-.21930693,.43712872,-.40526971,-.33908045,.36893207,-1.89,-.95999998,1.35
2241,sly,Modifiers,-.17389381,.12057522,-.234375,-.038895834,.17816091,-.4045307,-.43000001,.83999997,-1.04
1560,smart_aleck,Identities,-.33880952,-.052163463,.50649035,-.24215807,-.1178161,.592233,-1.24,-.19,2.04
702,smile_at,Behaviors,.72788459,.46875,-.067548074,.86198246,.68390799,-.19741097,3.1600001,2.5999999,-.40000001
703,smirk_at,Behaviors,-.14032258,-.033602148,-.083064519,-.12170637,.037356313,-.2135922,-.75999999,.34999999,-.44999999
1561,smoker,Identities,-.45686814,-.29320651,-.093406588,-.34002507,-.42528737,-.23300968,-1.63,-1.26,-.50999999
704,smother,Behaviors,-.74381191,.33861387,.25173268,-.4554579,.18965515,.022653747,-2.0899999,.88,.28
2242,smug,Modifiers,-.40048078,-.014805825,-.063942306,-.23462984,-.1494253,-.15533978,-1.21,-.30000001,-.27000001
705,snarl_at,Behaviors,-.56600875,.040570173,.34517545,-.55332494,-.0086206989,.38187703,-2.48,.19,1.39
706,sneer_at,Behaviors,-.55976188,-.078809522,.016190477,-.45796731,-.12643678,-.025889942,-2.0999999,-.22,.13
2243,sniveling,Modifiers,-.62362635,-.49505493,-.0085164839,-.37515679,-.42528737,2.4111911e-08,-1.77,-1.26,.20999999
1562,snob,Identities,-.62774998,-.054499999,.15224999,-.51819319,-.18678162,.23948222,-2.3399999,-.43000001,.94999999
2244,snobbish,Modifiers,-.6631068,-.14927185,.22475728,-.64366364,-.25,.10032365,-2.8399999,-.64999998,.51999998
1563,snoop,Identities,-.54425001,-.16625001,-.19374999,-.41028854,-.054597709,-.58899671,-1.91,.029999999,-1.61
2245,snooty,Modifiers,-.65569305,-.12995049,.21732673,-.51819319,-.25,.27831718,-2.3399999,-.64999998,1.0700001
1564,snot,Identities,-.58469385,-.3234694,.23035714,-.46047673,-.31896552,.18122979,-2.1099999,-.88999999,.76999998
2246,snowed,Modifiers,-.3373656,-.18831521,-.13070652,.094102904,-.15229885,-.24919091,.1,-.31,-.56
707,snub,Behaviors,-.57575756,.051262625,-.040151518,-.39021328,-.0632184,-.097087353,-1.83,0,-.090000004
708,snuggle,Behaviors,.68894738,.30210528,-.37473685,.75407779,.31034482,-.69902909,2.73,1.3,-1.95
2247,sociable,Modifiers,.58533651,.4375,.48173076,.70639896,.56034482,.66666669,2.54,2.1700001,2.27
1565,social_worker,Identities,.53179348,.32391304,.20244566,.60100377,.30172414,-.1003236,2.1199999,1.27,-.1
1566,socialist,Identities,.013513513,.039732143,.14352678,.038895883,.048850562,.071197435,-.12,.38999999,.43000001
709,sock,Behaviors,-.61881441,.22293815,.60567009,-.59598494,.20689654,.65048546,-2.6500001,.94,2.22
2248,soft_spoken,Modifiers,.15349463,-.20779569,-.49758065,.12421583,-.40804601,-.82847887,.22,-1.2,-2.3499999
2249,softhearted,Modifiers,.48787129,.12252475,-.22499999,.50062734,.034482751,-.4401294,1.72,.34,-1.15
1567,soldier,Identities,.45052633,.44421053,.54605263,.53074026,.47701147,.40129453,1.84,1.88,1.45
2250,solemn,Modifiers,.12473958,-.056315787,-.55309278,.1166876,-.0086206989,-.70873785,.19,.19,-1.98
1568,son,Identities,.44727722,.21658416,.35824999,.49058971,.33908045,.21035601,1.6799999,1.4,.86000001
1569,son_in_law,Identities,.30212265,.086084902,.072142854,.32998747,.028735621,-.045307416,1.04,.31999999,.07
710,soothe,Behaviors,.76905942,.46287128,-.24900991,.78670007,.5,-.57281548,2.8599999,1.96,-1.5599999
1570,sophisticate,Identities,.3172043,.32661289,.033602152,.45796737,.48275861,-.045307416,1.55,1.9,.07
2251,sophisticated,Modifiers,.50400001,.42500001,.027249999,.63111669,.56034482,-.019417448,2.24,2.1700001,.15000001
1571,sophomore,Identities,.20470297,-.1569307,.20470297,.30991217,-.022988513,.11003239,.95999998,.14,.55000001
1572,sorehead,Identities,-.53170729,-.2582317,-.0080246907,-.41530734,-.28160921,-.032362435,-1.9299999,-.75999999,.11
2252,sorrowful,Modifiers,-.39664948,-.36675256,-.48814434,-.41279796,-.32471266,-.75080901,-1.92,-.91000003,-2.1099999
2253,sorry,Modifiers,.16196808,-.12258065,-.30984041,.069008805,-.16091955,-.46601939,0,-.34,-1.23
1573,soul_mate,Identities,.77087379,.54466021,.086407766,.88707656,.75574708,.061488699,3.26,2.8499999,.40000001
2254,spacey,Modifiers,-.34554455,-.40792078,-.434901,-.06398993,-.37356323,-.64077663,-.52999997,-1.08,-1.77
711,speak_to,Behaviors,.39545456,.27130681,.30255681,.64868253,.3735632,.47896445,2.3099999,1.52,1.6900001
1574,specialist,Identities,.49074998,.44275001,.21474999,.57340026,.5431034,.10032365,2.01,2.1099999,.51999998
1575,spectator,Identities,.22796296,-.19962963,-.046296295,.1919699,-.2356322,-.1359223,.49000001,-.60000002,-.20999999
1576,speech_language_pathologist,Identities,.54659092,.33941442,.10840909,.53575909,.28735632,-.20711972,1.86,1.22,-.43000001
1577,speeder,Identities,-.40870786,.10898876,.66264045,-.23212042,.13793102,.85113269,-1.2,.69999999,2.8399999
2255,spirited,Modifiers,.62737226,.4560219,.434854,.70639896,.57471263,.5825243,2.54,2.22,2.01
2256,spiteful,Modifiers,-.59587628,-.32603094,.022422681,-.57089078,-.12643678,.032362487,-2.55,-.22,.31
712,spoil,Behaviors,-.070990562,.21650943,.18325472,-.1041405,.2327586,.14886734,-.69,1.03,.67000002
2257,spoiled,Modifiers,-.45300752,-.063157894,.2037594,-.37766621,-.043103456,.33333337,-1.78,.07,1.24
1578,spoilsport,Identities,-.53092784,-.1453125,.23098958,-.41028854,-.13505748,.22330099,-1.91,-.25,.89999998
