Month,Day,Year,Temp
9,16,1997,71.6
9,17,1997,71.5
9,18,1997,65.5
9,19,1997,68.9
9,20,1997,71.6
9,21,1997,55.9
9,22,1997,54.8
9,23,1997,56.1
9,24,1997,57.3
9,25,1997,59.3
9,26,1997,60.3
9,27,1997,59.4
9,28,1997,64
9,29,1997,60.9
9,30,1997,65.2
1,0            1,1997,54.9
1,0            2,1997,51.7
1,0            3,1997,64.2
1,0            4,1997,71.2
1,0            5,1997,72
1,0            6,1997,70.7
1,0            7,1997,69.7
1,0            8,1997,69.6
1,0            9,1997,70.5
1,0            10,1997,64.8
1,0            11,1997,57.5
1,0            12,1997,61.4
1,0            13,1997,69.3
1,0            14,1997,51.7
1,0            15,1997,43.9
1,0            16,1997,44.7
1,0            17,1997,47.8
1,0            18,1997,48.4
1,0            19,1997,47.5
1,0            20,1997,50.9
1,0            21,1997,44.4
1,0            22,1997,36.9
1,0            23,1997,38.5
1,0            24,1997,43.5
1,0            25,1997,47.3
1,0            26,1997,45.5
1,0            27,1997,39.7
1,0            28,1997,36.6
1,0            29,1997,44
1,0            30,1997,48.4
1,0            31,1997,54.3
1,1            1,1997,54.5
1,1            2,1997,43.5
1,1            3,1997,37
1,1            4,1997,34.8
1,1            5,1997,41.1
1,1            6,1997,43.9
1,1            7,1997,43.6
1,1            8,1997,45.3
1,1            9,1997,38.6
1,1            10,1997,40.8
1,1            11,1997,36.8
1,1            12,1997,30.9
1,1            13,1997,30.4
1,1            14,1997,32.2
1,1            15,1997,32.5
1,1            16,1997,28.7
1,1            17,1997,24.4
1,1            18,1997,29.9
1,1            19,1997,37.6
1,1            20,1997,40.1
1,1            21,1997,44.4
1,1            22,1997,39.2
1,1            23,1997,35.1
1,1            24,1997,29.5
1,1            25,1997,36.7
1,1            26,1997,49
1,1            27,1997,38.1
1,1            28,1997,52.4
1,1            29,1997,56.2
1,1            30,1997,52.1
1,2            1,1997,37.2
1,2            2,1997,34.1
1,2            3,1997,41.9
1,2            4,1997,38.6
1,2            5,1997,28.2
1,2            6,1997,22.6
1,2            7,1997,28.3
1,2            8,1997,29.5
1,2            9,1997,31.5
1,2            10,1997,37.9
1,2            11,1997,32.3
1,2            12,1997,30
1,2            13,1997,29.1
1,2            14,1997,28.1
1,2            15,1997,29.7
1,2            16,1997,37.9
1,2            17,1997,37.5
1,2            18,1997,33.2
1,2            19,1997,43.2
1,2            20,1997,39.7
1,2            21,1997,34.4
1,2            22,1997,38.1
1,2            23,1997,37.4
1,2            24,1997,36.4
1,2            25,1997,40.2
1,2            26,1997,32.7
1,2            27,1997,30.3
1,2            28,1997,28.3
1,2            29,1997,28.6
1,2            30,1997,28
1,2            31,1997,21.3
1,1,1998,20.3
1,2,1998,39.6
1,3,1998,49.4
1,4,1998,54.7
1,5,1998,54.8
1,6,1998,56.3
1,7,1998,56.6
1,8,1998,42.8
1,9,1998,39.7
1,10,1998,35.4
1,11,1998,26
1,12,1998,34.7
1,13,1998,32
1,14,1998,21.4
1,15,1998,33.7
1,16,1998,28.9
1,17,1998,29.7
1,18,1998,28.9
1,19,1998,21.9
1,20,1998,25.3
1,21,1998,27.8
1,22,1998,35.9
1,23,1998,35.7
1,24,1998,31.1
1,25,1998,30.5
1,26,1998,33
1,27,1998,39
1,28,1998,35.8
1,29,1998,39.8
1,30,1998,32.4
1,31,1998,33.3
2,1,1998,34.3
2,2,1998,44.4
2,3,1998,32.3
2,4,1998,29.2
2,5,1998,28.7
2,6,1998,30.4
2,7,1998,31.1
2,8,1998,30.9
2,9,1998,33.7
2,10,1998,39.5
2,11,1998,45.5
2,12,1998,39.5
2,13,1998,35
2,14,1998,36.3
2,15,1998,37.3
2,16,1998,40.3
2,17,1998,45.5
2,18,1998,45.5
2,19,1998,38.4
2,20,1998,38
2,21,1998,39.2
2,22,1998,42.3
2,23,1998,39.6
2,24,1998,38.6
2,25,1998,39.6
2,26,1998,46.9
2,27,1998,54.1
2,28,1998,47.2
3,1,1998,39.5
3,2,1998,33.8
3,3,1998,33
3,4,1998,33.6
3,5,1998,31.1
3,6,1998,37.4
3,7,1998,39.5
3,8,1998,48.9
3,9,1998,48.6
3,10,1998,22.8
3,11,1998,18
3,12,1998,18.8
3,13,1998,24.5
3,14,1998,35.8
3,15,1998,28.5
3,16,1998,33
3,17,1998,37.9
3,18,1998,50.4
3,19,1998,53.4
3,20,1998,42
3,21,1998,32.6
3,22,1998,33.1
3,23,1998,33.7
3,24,1998,34.6
3,25,1998,41.4
3,26,1998,60.9
3,27,1998,69.8
3,28,1998,68.3
3,29,1998,65.7
3,30,1998,75.3
3,31,1998,72.1
4,1,1998,56.1
4,2,1998,47.7
4,3,1998,44.9
4,4,1998,43
4,5,1998,41.5
4,6,1998,48
4,7,1998,51.3
4,8,1998,59.8
4,9,1998,52.7
4,10,1998,45.2
4,11,1998,46.6
4,12,1998,55
4,13,1998,58
4,14,1998,59.1
4,15,1998,54.7
4,16,1998,60
4,17,1998,48.7
4,18,1998,47.1
4,19,1998,47.6
4,20,1998,47.8
4,21,1998,53.2
4,22,1998,53.4
4,23,1998,53.5
4,24,1998,59.8
4,25,1998,59.5
4,26,1998,56.5
4,27,1998,46.4
4,28,1998,48.4
4,29,1998,57.6
4,30,1998,57.9
5,1,1998,58.3
5,2,1998,55.9
5,3,1998,56.2
5,4,1998,52.8
5,5,1998,59.1
5,6,1998,64.3
5,7,1998,62
5,8,1998,62.3
5,9,1998,62
5,10,1998,63.9
5,11,1998,60.3
5,12,1998,63.2
5,13,1998,68
5,14,1998,69.9
5,15,1998,75.1
5,16,1998,77.3
5,17,1998,71.3
5,18,1998,72.2
5,19,1998,75.2
5,20,1998,72.1
5,21,1998,67.3
